"Student Discipline Data by Race and Gender
State and District Levels
2016-17, Final Survey 5 ",,,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 
and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,,,,,,,,
Note: Students are only counted once for each Discipline Action type.,,,,,,,,,,,,,
District #,District Name,Discipline Code,Discipline Description,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female,Male,Total
00,FLORIDA,C,Corporal Punishment,932,320,95,1,2,5,87,212,"1,230","1,442"
00,FLORIDA,E,Expelled Without Continuing Educational Services,70,73,31,3,0,3,15,31,164,195
00,FLORIDA,F,Expelled With Continuing Educational Services,143,113,54,1,3,1,13,81,247,328
00,FLORIDA,H,Suspension Extended Pending Hearing,148,248,144,8,0,0,23,177,394,571
00,FLORIDA,I,Suspension In-School,"59,921","69,863","47,917","1,319",220,582,"7,117","62,453","124,486","186,939"
00,FLORIDA,L,Seclusion,66,80,24,2,0,1,6,35,144,179
00,FLORIDA,M,Mechanical Restraint,223,58,19,0,0,1,14,93,222,315
00,FLORIDA,O,Suspension Out-of-School,"43,712","57,849","30,172",773,167,457,"5,682","42,284","96,528","138,812"
00,FLORIDA,P,Placement in Alternative Educational Setting,"2,041","2,919","1,463",36,7,22,294,"1,959","4,823","6,782"
00,FLORIDA,R,Physical Restraint,252,183,97,1,3,1,34,99,472,571
00,FLORIDA,S,Other SES IR Defined,"2,628","7,926","2,545",87,19,31,439,"4,038","9,637","13,675"
00,FLORIDA,U,Chang In Placement,11,17,5,0,1,0,2,3,33,36
01,ALACHUA     ,O,Suspension Out-of-School,353,"1,368",71,4,0,3,111,636,"1,274","1,910"
02,BAKER       ,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
02,BAKER       ,I,Suspension In-School,573,174,8,2,0,2,26,284,501,785
02,BAKER       ,O,Suspension Out-of-School,287,108,3,1,1,1,18,125,294,419
02,BAKER       ,P,Placement in Alternative Educational Setting,15,2,0,0,0,0,1,6,12,18
03,BAY         ,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY         ,F,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY         ,H,Suspension Extended Pending Hearing,7,12,0,0,0,0,1,1,19,20
03,BAY         ,I,Suspension In-School,"1,953","1,038",254,32,8,13,239,"1,212","2,325","3,537"
03,BAY         ,L,Seclusion,*,*,*,*,*,*,*,*,*,*
03,BAY         ,O,Suspension Out-of-School,"1,311",754,152,11,4,10,149,699,"1,692","2,391"
03,BAY         ,P,Placement in Alternative Educational Setting,43,44,4,0,0,0,7,22,76,98
03,BAY         ,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
04,BRADFORD    ,C,Corporal Punishment,8,4,0,0,0,0,0,2,10,12
04,BRADFORD    ,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
04,BRADFORD    ,I,Suspension In-School,239,164,16,5,0,0,9,152,281,433
04,BRADFORD    ,O,Suspension Out-of-School,187,105,6,3,2,1,6,101,209,310
04,BRADFORD    ,P,Placement in Alternative Educational Setting,6,3,1,0,0,0,1,2,9,11
05,BREVARD     ,E,Expelled Without Continuing Educational Services,5,5,0,0,0,0,1,1,10,11
05,BREVARD     ,F,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
05,BREVARD     ,H,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
05,BREVARD     ,I,Suspension In-School,"1,628","1,208",529,21,1,5,307,"1,088","2,611","3,699"
05,BREVARD     ,L,Seclusion,*,*,*,*,*,*,*,*,*,*
05,BREVARD     ,M,Mechanical Restraint,*,*,*,*,*,*,*,*,*,*
05,BREVARD     ,O,Suspension Out-of-School,"2,391","1,764",736,19,1,9,477,"1,611","3,786","5,397"
05,BREVARD     ,P,Placement in Alternative Educational Setting,157,101,46,0,0,0,30,103,231,334
05,BREVARD     ,R,Physical Restraint,26,14,6,0,1,0,8,12,43,55
05,BREVARD     ,S,Other SES IR Defined,182,117,34,4,0,2,42,139,242,381
06,BROWARD     ,I,Suspension In-School,"1,927","10,056","3,531",117,9,28,397,"5,087","10,978","16,065"
06,BROWARD     ,O,Suspension Out-of-School,356,"3,248",742,27,7,4,96,"1,585","2,895","4,480"
06,BROWARD     ,P,Placement in Alternative Educational Setting,64,352,113,6,0,2,17,137,417,554
06,BROWARD     ,S,Other SES IR Defined,581,"4,428","1,086",37,5,12,130,"2,096","4,183","6,279"
07,CALHOUN     ,C,Corporal Punishment,37,6,0,0,0,0,7,5,45,50
07,CALHOUN     ,I,Suspension In-School,115,34,13,0,0,2,15,51,128,179
07,CALHOUN     ,O,Suspension Out-of-School,22,5,1,0,0,0,1,6,23,29
08,CHARLOTTE   ,I,Suspension In-School,968,180,180,10,1,9,77,467,958,"1,425"
08,CHARLOTTE   ,O,Suspension Out-of-School,653,156,118,7,2,7,61,249,755,"1,004"
08,CHARLOTTE   ,P,Placement in Alternative Educational Setting,45,8,5,1,0,0,5,19,45,64
08,CHARLOTTE   ,S,Other SES IR Defined,36,8,4,0,0,0,2,13,37,50
08,CHARLOTTE   ,U,Chang In Placement,6,1,2,0,0,0,1,0,10,10
09,CITRUS      ,E,Expelled Without Continuing Educational Services,7,1,1,0,0,0,1,1,9,10
09,CITRUS      ,F,Expelled With Continuing Educational Services,12,1,3,0,0,0,0,6,10,16
09,CITRUS      ,I,Suspension In-School,"1,774",182,154,14,3,9,103,768,"1,471","2,239"
09,CITRUS      ,O,Suspension Out-of-School,971,129,78,5,3,8,55,312,937,"1,249"
09,CITRUS      ,P,Placement in Alternative Educational Setting,37,3,2,0,0,1,0,17,26,43
09,CITRUS      ,R,Physical Restraint,*,*,*,*,*,*,*,*,*,*
09,CITRUS      ,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
10,CLAY        ,C,Corporal Punishment,*,*,*,*,*,*,*,*,*,*
10,CLAY        ,E,Expelled Without Continuing Educational Services,6,10,0,0,0,0,1,4,13,17
10,CLAY        ,F,Expelled With Continuing Educational Services,22,8,0,0,2,0,2,4,30,34
10,CLAY        ,I,Suspension In-School,"2,133","1,025",428,40,12,12,199,"1,118","2,731","3,849"
10,CLAY        ,L,Seclusion,*,*,*,*,*,*,*,*,*,*
10,CLAY        ,M,Mechanical Restraint,*,*,*,*,*,*,*,*,*,*
10,CLAY        ,O,Suspension Out-of-School,987,440,181,12,7,5,77,464,"1,245","1,709"
10,CLAY        ,P,Placement in Alternative Educational Setting,111,56,33,0,1,0,10,65,146,211
11,COLLIER     ,E,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
11,COLLIER     ,I,Suspension In-School,873,722,"1,596",15,4,36,62,"1,012","2,296","3,308"
11,COLLIER     ,O,Suspension Out-of-School,548,440,947,6,4,24,54,572,"1,451","2,023"
11,COLLIER     ,P,Placement in Alternative Educational Setting,65,64,105,0,1,4,8,48,199,247
11,COLLIER     ,S,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
12,COLUMBIA    ,C,Corporal Punishment,63,53,8,0,0,0,13,30,107,137
12,COLUMBIA    ,I,Suspension In-School,588,504,60,0,1,3,75,429,802,"1,231"
12,COLUMBIA    ,O,Suspension Out-of-School,395,349,28,1,0,3,65,235,606,841
13,MIAMI-DADE  ,I,Suspension In-School,570,"2,015","8,062",44,0,1,64,"3,615","7,141","10,756"
13,MIAMI-DADE  ,O,Suspension Out-of-School,77,513,928,3,0,1,15,512,"1,025","1,537"
13,MIAMI-DADE  ,S,Other SES IR Defined,38,339,423,6,0,0,6,191,621,812
14,DESOTO      ,F,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
14,DESOTO      ,I,Suspension In-School,134,84,93,0,0,1,13,100,225,325
14,DESOTO      ,O,Suspension Out-of-School,116,89,72,0,0,1,12,85,205,290
14,DESOTO      ,R,Physical Restraint,*,*,*,*,*,*,*,*,*,*
15,DIXIE       ,C,Corporal Punishment,17,0,0,0,0,0,0,3,14,17
15,DIXIE       ,I,Suspension In-School,124,16,5,0,0,1,5,52,99,151
15,DIXIE       ,O,Suspension Out-of-School,112,24,4,0,0,1,5,39,107,146
15,DIXIE       ,P,Placement in Alternative Educational Setting,*,*,*,*,*,*,*,*,*,*
16,DUVAL       ,F,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
16,DUVAL       ,H,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
16,DUVAL       ,I,Suspension In-School,"2,748","9,630","1,132",171,11,23,507,"5,078","9,144","14,222"
16,DUVAL       ,L,Seclusion,7,16,2,1,0,0,2,4,24,28
