,,,2015-2016 School Improvement Rating,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
District Number,District Name,School Number,School Name,English Language Arts Learning Gains,Mathematics Learning Gains,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,School Improvement Rating,Charter School,Alternative/ESE Center School,School Type,Title I,Percent of Minority Students,Percent of Economically Disadvantaged Students
01,ALACHUA,0052,A.QUINN JONES CENTER,16,11,27,2,14,78,UNSATISFACTORY,NO,A,04,YES,88,100
01,ALACHUA,0955,"THE EINSTEIN SCHOOL, INC.",35,42,77,2,39,100,MAINTAINING,YES,A,04,NO,44,46
01,ALACHUA,0991,SIATECH GAINESVILLE,,,,,,57,I,YES,A,03,NO,77,55
01,ALACHUA,1003,ALACHUA MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES (MYCROSCHOOL GAINESVILLE),,,,,,39,I,YES,A,03,NO,82,63
03,BAY,0241,ST. ANDREW SCHOOL,29,26,55,2,28,98,MAINTAINING,NO,A,01,YES,44,100
03,BAY,0531,NEW HORIZONS LEARNING CENTER,34,24,58,2,29,91,MAINTAINING,NO,E,04,YES,33,92
03,BAY,0581,ROSENWALD HIGH SCHOOL,18,23,41,2,21,92,UNSATISFACTORY,NO,A,03,YES,50,68
03,BAY,0591,C C WASHINGTON ACADEMY,22,15,37,2,19,90,UNSATISFACTORY,NO,A,02,YES,55,100
03,BAY,0782,CENTRAL HIGH SCHOOL,9,,9,1,9,78,UNSATISFACTORY,YES,A,03,NO,42,31
05,BREVARD,0089,FIELDSTON PREPARATORY SCHOOL,18,12,30,2,15,93,UNSATISFACTORY,NO,E,04,YES,43,85
05,BREVARD,1028,DEVEREUX HOSPITAL,18,,18,1,18,97,UNSATISFACTORY,NO,E,04,NO,53,9
05,BREVARD,1029,RIVERDALE COUNTRY DAY SCHOOL,39,13,52,2,26,82,MAINTAINING,NO,E,04,YES,48,90
06,BROWARD,0405,LANIER-JAMES EDUCATION CENTER,30,,30,1,30,83,MAINTAINING,NO,A,04,NO,88,85
